"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"1/21/2011","Chase","CHASE MTGE       ONLINE PMT ****","1350.00","debit","Mortgage & Rent","Checking","",""
"1/21/2011","Famous Daves","FAMOUS DAVE'S #3002        BURNS","61.05","debit","Restaurants","Checking","",""
"1/21/2011","Cafe Latte","CAFE LATTE         QPS     ST PA","10.20","debit","Food & Dining","Checking","",""
"1/21/2011","Cafe Latte","CAFE LATTE         QPS     ST PA","13.08","debit","Food & Dining","Checking","",""
"1/21/2011","Superamerica","SUPERAMERICA 04419         ST. P","61.91","debit","Gas & Fuel","Checking","",""
"1/20/2011","Interest Purchases","Interest on Purchases","139.18","debit","Finance Charge","WORLD MASTERCARD","",""
"1/20/2011","Interest Cash Advances","Interest on Cash Advances","19.36","debit","Finance Charge","WORLD MASTERCARD","",""
"1/20/2011","Debt Protection Per","DEBT PROTECTION AT .3000 PER 100","30.00","debit","Bank Fee","WORLD MASTERCARD","",""
"1/20/2011","USPS Payroll","MPLS USPS PDC MN FED SALARY ****","100.00","credit","Paycheck Nick","USAA SAVINGS","",""
"1/20/2011","Caribou Coffee","CARIBOU COFFEE#1209QPS     MINNE","5.22","debit","Coffee Shops","Checking","",""
"1/20/2011","Caribou Coffee","CARIBOU COFFEE 1274QPS     RICHF","2.13","debit","Coffee Shops","Checking","",""
"1/20/2011","Bloom","HP BLOOMINGTON RX          BLOOM","16.35","debit","Groceries","Checking","",""
"1/20/2011","Dan Kellys Bar & Grill","DAN KELLY'S BAR AND GR     MINNE","8.00","debit","Alcohol & Bars","Checking","",""
"1/20/2011","Homestead Pickin Parlor","HOMESTEAD PICKIN PARLO     RICHF","26.77","debit","Music","Checking","",""
"1/20/2011","Champps","CHAMPPS #65209             RICHF","56.05","debit","Restaurants","Checking","",""
"1/20/2011","USPS Payroll","MPLS USPS PDC MN FED SALARY ****","2433.42","credit","Paycheck Nick","Checking","",""
"1/20/2011","Annunciation","CHECK # 0000002785","25.00","debit","Charity","Checking","",""
"1/20/2011","Bachman's","BACHMAN'S INC #1   QPS     MINNE","9.67","debit","Gift","Checking","",""
"1/20/2011","Rainbow Foods","RAINBOW FOODS 00088609     RICHF","23.77","debit","Groceries","Checking","",""
"1/20/2011","Annunciation School","Annunciation Sch FACTS      ****","626.17","debit","Education","Checking","",""
"1/20/2011","Kowalski's","KOWALSKI'S MARKET          MINNE","15.69","debit","Groceries","Checking","",""
"1/20/2011","Blockbuster","BLOCKBUSTER INC#94035      RICHF","26.80","debit","Movies & DVDs","Checking","",""
"1/19/2011","iTunes","APL*ITUNES                 866-7","5.37","debit","Music","Checking","",""
"1/19/2011","Redbox","REDBOX *DVD RENTAL         866-7","2.15","debit","Movies & DVDs","Checking","",""
"1/19/2011","Kowalski's","KOWALSKI'S MARKET          MINNE","4.49","debit","Groceries","Checking","",""
"1/19/2011","Bloom","S HENN REC DROP OFF CT     BLOOM","15.00","debit","Groceries","Checking","",""
"1/19/2011","Leeann Chin","LEEANN CHIN #029 RICHF     RICHF","26.84","debit","Restaurants","Checking","",""
"1/18/2011","Airport Parking","MSP AIRPORT PARKINGQPS     SAINT","3.00","debit","Auto & Transport","Checking","",""
"1/18/2011","Redbox","REDBOX *DVD RENTAL QPS     OAKBR","1.07","debit","Movies & DVDs","Checking","",""
"1/18/2011","Starbucks","STARBUCKS USA 00023663     EDEN","7.11","debit","Coffee Shops","Checking","",""
"1/18/2011","Starbucks","STARBUCKS USA 00002881     MINNE","29.26","debit","Coffee Shops","Checking","",""
"1/18/2011","Airport Parking","MSP AIRPORT PARKINGQPS     SAINT","6.00","debit","Auto & Transport","Checking","",""
"1/18/2011","ATM Withdrawl","6320 PENN AVE. S.          RICHF","61.95","debit","Cash & ATM","Checking","",""
"1/18/2011","Target","TARGET        00023135     EDINA","101.50","debit","Shopping","Checking","",""
"1/18/2011","5-8 Club","THE 5-8 CLUB               MINNE","42.47","debit","Restaurants","Checking","",""
"1/18/2011","Arby's","ARBY'S #5169  00051698     RICHF","8.99","debit","Fast Food","Checking","",""
"1/18/2011","Starbucks","STARBUCKS USA 00024695     EAGAN","3.37","debit","Coffee Shops","Checking","",""
